Listing_ID,Is_NewBuild,Title,Price_KZT,District,Address,Floor_Info,Area_m2,Rooms,Build_Year,Residential_Complex,House_Type,Ceiling_Height,Bathroom,Developer,Description_Snippet,Listing_URL,Detail_Fetched,Current_Floor,Total_Floors,Price_per_m2,Market_Segment,Price_Tier,House_Type_Group,Bathroom_Group,Build_Year_Bucket,Area_Band,District_Code,Is_NewBuild_Code
1003290031,True,1-комнатная квартира · 56.3 м²,39410000,Ауэзовский р-н,мкр Жетысу-3 55А,,56.3,1,2025,7Su Nury,,2.85,совмещенный,,"жил. комплекс 7Su Nury, 10 этажей, 2025 г.п., потолки 2.85м., санузел совмещенный, 7Su Nury — комфорт и безопасность в сердце Алматы7Su Nury — это современный жилой комплекс комфорт-класса, где каждый элемент создан с заботой о вашем удоб…",https://krisha.kz/a/show/1003290031,True,,,700000.0,Новостройка,Средний сегмент,Не указано,совмещенный,2024 и новее,Выше средней,2,1
1006456631,False,3-комнатная квартира · 73.91 м² · 2/6 этаж,38500000,Прочее,Неизвестный,2 из 6,73.91,3,2026,Buta Albion,,,,,"жил. комплекс Buta Albion, 2026 г.п., состояние: свободная планировка, Квартира продается по переуступке в ЖК Buta Albion 28 177 350 тг застройщику наличными или в ипотеку! Возможен на обмен с вашей доплатой на авто не старше 2017 г. Срок сдачи квартиры 30 июня 2026 года! Квартира на 2-ом этаж…",https://krisha.kz/a/show/1006456631,True,2,6,520904.0,Вторичка,Недорогой сегмент,Не указано,Не указано,2024 и новее,Большая,7,0
1009183715,False,2-комнатная квартира · 60 м² · 6/8 этаж,32900000,Турксибский р-н,"мкр Кайрат, Туркестан 115 — Рыскулова Кульджинка",6 из 8,60.0,2,2026,Турар,монолитный,3.0,,,"жил. комплекс Турар, монолитный дом, 2026 г.п., потолки 3м., СРОЧНО! 2-комнатная 60 м² в монолитном доме комфорт-класса | Переуступка Продаётся 2-комнатная квартира 60 м² в г. Алматы. 6 этаж из 8. Монолитный дом комфорт-класса. Удобная планировка: две изолированные комнаты + отдельная кухня. Чернов…",https://krisha.kz/a/show/1009183715,True,6,8,548333.0,Вторичка,Недорогой сегмент,монолитный,Не указано,2024 и новее,Выше средней,8,0
1010285304,False,3-комнатная квартира · 75.7 м² · 2/6 этаж,51000000,Алатауский р-н,"мкр Гажайып, Ғажайып ш/а. — Arena city sport C",2 из 6,75.7,3,2025,Arena City. Sport,монолитный,2.7,,,"жил. комплекс Arena City. Sport, монолитный дом, 2025 г.п., потолки 2.7м., ✅ Проверенная квартира ✅ Подходит в ипотеку ✅ Новый ЖК – современный, современное качество строительства ✅ Закрытый двор без машин – безопасно для детей и комфортно для жителей ✅ Современный интерактивный двор – с зонами д…",https://krisha.kz/a/show/1010285304,True,2,6,673712.0,Вторичка,Средний сегмент,монолитный,Не указано,2024 и новее,Большая,0,0
1009994579,True,2-комнатная квартира · 46.37 м²,36261340,Алатауский р-н,"мкр Гажайып, ​Гажайып микрорайон 11/19",,46.37,2,2026,Arena City. Balance,,3.0,совмещенный,,"жил. комплекс Arena City. Balance, 6 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Arena City. Balance — это баланс между работой, учебой, отдыхом и семьей. Здесь всё рядом: школа, спорт, тишина, природа и ритм города — B идеальных пропорциях для вашего комфорта. Здесь начи…",https://krisha.kz/a/show/1009994579,True,,,782000.0,Новостройка,Средний сегмент,Не указано,совмещенный,2024 и новее,Ниже средней,0,1
665342550,True,3-комнатная квартира · 76.5 м²,32895000,Прочее,Райымбек батыра 275,,76.5,3,2026,Dostar,,2.7,раздельный,,"жил. комплекс Dostar, 9 этажей, 2026 г.п., потолки 2.7м., санузел раздельный, График работы отдела продаж:Пн - Пт: 10:00 - 19:00Суббота : 10:00 - 14:00ЖК Достар — жилой компле…",https://krisha.kz/a/show/665342550,True,,,430000.0,Новостройка,Недорогой сегмент,Не указано,раздельный,2024 и новее,Большая,7,1
1009921437,False,2-комнатная квартира · 52 м² · 14/14 этаж,33500000,Бостандыкский р-н,Жандосова 94/8 — Розыбакиева/ Темирязева,14 из 14,52.0,2,2025,,монолитный,3.0,совмещенный,,"монолитный дом, 2025 г.п., потолки 3м., санузел совмещенный, Уникальное предложение в одном из самых востребованных районов города — Бостандыкский, пересечение Жандосова и Тимирязева. Современный жилой комплекс комфорт-класса с продуманной инфраструктурой и высоким уровнем жизни. Закрыты…",https://krisha.kz/a/show/1009921437,True,14,14,644231.0,Вторичка,Недорогой сегмент,монолитный,совмещенный,2024 и новее,Выше средней,3,0
1011393855,False,3-комнатная квартира · 80.5 м² · 4/9 этаж,78000000,Бостандыкский р-н,Каныша Сатпаева,4 из 9,80.5,3,2026,Satpaev,монолитный,3.0,2 санузла и более,,"жил. комплекс Satpaev, монолитный дом, 2026 г.п., состояние: черновая отделка, потолки 3м., санузел 2 с/у и более, Ищете квартиру в качественном новострое? Предлагаем 3-комнатную квартиру на 4 этаже в ЖК Satpaev. Почему стоит выбрать этот объект: 1. Площадь позволяет организовать просторную гост…",https://krisha.kz/a/show/1011393855,True,4,9,968944.0,Вторичка,Премиум сегмент,монолитный,2 санузла и более,2024 и новее,Большая,3,0
1009724599,False,1-комнатная квартира · 34 м² · 5/6 этаж,34900000,Турксибский р-н,Байге — Рыскулова,5 из 6,34.0,1,2025,Dream City. Eco,монолитный,2.7,совмещенный,,"жил. комплекс Dream City. Eco, монолитный дом, 2025 г.п., состояние: свежий ремонт, потолки 2.7м., санузел совмещенный, меблирована полностью, Ваша мечта в Dream City Eco: Уют и престиж от BI Group! Продается стильная квартира на комфортном 5-м этаже в одном из самых востребованных жилых комплекс…",https://krisha.kz/a/show/1009724599,True,5,6,1026471.0,Вторичка,Премиум сегмент,монолитный,совмещенный,2024 и новее,Маленькая,8,0
693826795,True,3-комнатная квартира · 87.78 м²,61446000,Алатауский р-н,Бауыржана Момышулы 11/14а,,87.78,3,2026,Arena City. Sport,,2.7,совмещенный,,"жил. комплекс Arena City. Sport, 6 этажей, 2026 г.п., потолки 2.7м., санузел совмещенный, Arena City. Sport — жилой комплекс в бигвилле Arena City. Здесь каждый житель ощущает комфорт и удобство, благодаря уникальной инфраструктуре, специально созданной для активного образа жизн…",https://krisha.kz/a/show/693826795,True,,,700000.0,Новостройка,Средний сегмент,Не указано,совмещенный,2024 и новее,Большая,0,1
